ablation,seed,epochs,ckpt_MB,ckpt_ok,best_val_acc,best_unseen_acc,best_val_mrr,best_unseen_mrr
P7_channel_indep_s42,42,80,299,True,0.7317,0.6127,0.751,0.7199
P7_no_channel_text_s42,42,80,343,True,0.5859,0.5367,0.6171,0.6775
P7_tau_0p3_s42,42,80,356,True,0.7441,0.5993,0.7618,0.7101
P1_none_s42,42,80,354,True,0.7938,0.6578,0.8099,0.7558
P1_hard_neg_s42,42,80,356,True,0.7164,0.571,0.7358,0.6877
P7_hard_targets_s42,42,80,356,True,0.7411,0.5726,0.7596,0.6924
P7_sbert_mpnet_s42,42,80,423,True,0.6083,0.4708,0.6381,0.6188
P7_soft_weight_0p5_s42,42,80,356,True,0.7427,0.5876,0.7622,0.7012
P1_semantic_s42,42,80,357,True,0.7456,0.6244,0.7646,0.7231
P6_headline_s43,43,80,356,True,0.7093,0.5442,0.7312,0.6681
P6_headline_s44,44,80,356,True,0.7068,0.5334,0.7273,0.6654
P7_cnn_multi_s42,42,80,357,True,0.7254,0.5735,0.7458,0.6897
P7_spectral_half_s42,42,80,357,True,0.7144,0.5451,0.7348,0.6729
